"SUBJECT","ACTIVITY_NAME","tBodyAcc-mean()-X","tBodyAcc-mean()-Y","tBodyAcc-mean()-Z","tBodyAcc-std()-X","tBodyAcc-std()-Y","tBodyAcc-std()-Z","tGravityAcc-mean()-X","tGravityAcc-mean()-Y","tGravityAcc-mean()-Z","tGravityAcc-std()-X","tGravityAcc-std()-Y","tGravityAcc-std()-Z","tBodyAccJerk-mean()-X","tBodyAccJerk-mean()-Y","tBodyAccJerk-mean()-Z","tBodyAccJerk-std()-X","tBodyAccJerk-std()-Y","tBodyAccJerk-std()-Z","tBodyGyro-mean()-X","tBodyGyro-mean()-Y","tBodyGyro-mean()-Z","tBodyGyro-std()-X","tBodyGyro-std()-Y","tBodyGyro-std()-Z","tBodyGyroJerk-mean()-X","tBodyGyroJerk-mean()-Y","tBodyGyroJerk-mean()-Z","tBodyGyroJerk-std()-X","tBodyGyroJerk-std()-Y","tBodyGyroJerk-std()-Z","tBodyAccMag-mean()","tBodyAccMag-std()","tGravityAccMag-mean()","tGravityAccMag-std()","tBodyAccJerkMag-mean()","tBodyAccJerkMag-std()","tBodyGyroMag-mean()","tBodyGyroMag-std()","tBodyGyroJerkMag-mean()","tBodyGyroJerkMag-std()","fBodyAcc-mean()-X","fBodyAcc-mean()-Y","fBodyAcc-mean()-Z","fBodyAcc-std()-X","fBodyAcc-std()-Y","fBodyAcc-std()-Z","fBodyAcc-meanFreq()-X","fBodyAcc-meanFreq()-Y","fBodyAcc-meanFreq()-Z","fBodyAccJerk-mean()-X","fBodyAccJerk-mean()-Y","fBodyAccJerk-mean()-Z","fBodyAccJerk-std()-X","fBodyAccJerk-std()-Y","fBodyAccJerk-std()-Z","fBodyAccJerk-meanFreq()-X","fBodyAccJerk-meanFreq()-Y","fBodyAccJerk-meanFreq()-Z","fBodyGyro-mean()-X","fBodyGyro-mean()-Y","fBodyGyro-mean()-Z","fBodyGyro-std()-X","fBodyGyro-std()-Y","fBodyGyro-std()-Z","fBodyGyro-meanFreq()-X","fBodyGyro-meanFreq()-Y","fBodyGyro-meanFreq()-Z","fBodyAccMag-mean()","fBodyAccMag-std()","fBodyAccMag-meanFreq()","fBodyBodyAccJerkMag-mean()","fBodyBodyAccJerkMag-std()","fBodyBodyAccJerkMag-meanFreq()","fBodyBodyGyroMag-mean()","fBodyBodyGyroMag-std()","fBodyBodyGyroMag-meanFreq()","fBodyBodyGyroJerkMag-mean()","fBodyBodyGyroJerkMag-std()","fBodyBodyGyroJerkMag-meanFreq()"
1,"LAYING",0.269967,-0.0192389,-0.108344,-0.964536,-0.946722,-0.947347,-0.283329,0.589045,0.532423,-0.949903,-0.970972,-0.956049,0.0792949,0.00999586,-0.00287326,-0.979814,-0.971099,-0.979838,-0.0179057,-0.0877918,0.119813,-0.965673,-0.963415,-0.964201,-0.101325,-0.0390204,-0.0623318,-0.97397,-0.979527,-0.983547,-0.950259,-0.936715,-0.950259,-0.936715,-0.979529,-0.973616,-0.942295,-0.937501,-0.982155,-0.973907,-0.969283,-0.955329,-0.960504,-0.963006,-0.945692,-0.944352,-0.204945,0.124211,0.168006,-0.979743,-0.971394,-0.976894,-0.981801,-0.972935,-0.981412,0.107178,0.0105239,0.0558231,-0.959809,-0.966637,-0.964119,-0.967847,-0.962135,-0.967561,-0.0124511,-0.0766405,0.0876249,-0.951921,-0.938901,0.107344,-0.974084,-0.972042,0.27707,-0.951617,-0.939554,-0.0114062,-0.97573,-0.973282,0.144076
1,"SITTING",0.274852,-0.0118858,-0.105675,-0.984665,-0.938306,-0.951366,0.862999,0.104689,0.140297,-0.980774,-0.957376,-0.95549,0.0759785,0.00413674,-0.00404499,-0.987344,-0.978228,-0.98558,-0.0382869,-0.0711121,0.0830266,-0.984793,-0.972489,-0.962277,-0.0952587,-0.0412207,-0.0523095,-0.990434,-0.989767,-0.987174,-0.960967,-0.946196,-0.960967,-0.946196,-0.985529,-0.98331,-0.950688,-0.956795,-0.991199,-0.988796,-0.984891,-0.952006,-0.964759,-0.984677,-0.935473,-0.947856,-0.0553629,0.0645286,0.127793,-0.987553,-0.978322,-0.983226,-0.988285,-0.979776,-0.986556,0.180857,-0.0376027,0.0342194,-0.982282,-0.977232,-0.965269,-0.985671,-0.970227,-0.964866,0.085895,-0.159224,0.000705771,-0.958657,-0.948085,0.142001,-0.983293,-0.982247,0.305171,-0.969047,-0.956755,-0.0507957,-0.989446,-0.988472,0.213503
1,"STANDING",0.278883,-0.0165639,-0.107896,-0.988011,-0.948168,-0.955116,0.937704,-0.191598,-0.0108479,-0.988435,-0.974985,-0.963682,0.0752445,0.00915071,-0.00365035,-0.985425,-0.972652,-0.985007,-0.0270753,-0.0699176,0.0819435,-0.956219,-0.971906,-0.969332,-0.0999638,-0.0417031,-0.0527213,-0.977224,-0.986239,-0.984405,-0.965629,-0.960241,-0.965629,-0.960241,-0.983089,-0.980155,-0.953467,-0.944439,-0.98541,-0.98193,-0.986124,-0.956247,-0.968894,-0.989007,-0.94692,-0.951173,0.0155474,-0.00534182,0.0864291,-0.985404,-0.972656,-0.982395,-0.986824,-0.974766,-0.986286,0.230142,-0.085266,0.0412732,-0.956537,-0.975086,-0.970677,-0.956885,-0.970437,-0.97177,-0.208618,-0.167545,-0.0542005,-0.967529,-0.962115,0.0850804,-0.979605,-0.97981,0.311216,-0.960765,-0.944358,-0.158744,-0.982863,-0.981759,0.142572
1,"WALKING",0.274866,-0.0181503,-0.109248,-0.297977,-0.0115931,-0.294659,0.925749,-0.211045,-0.0369403,-0.977548,-0.967109,-0.953468,0.0768142,0.0159879,0.000500165,-0.240876,-0.100118,-0.50874,-0.0314518,-0.0704808,0.0827784,-0.475346,-0.31423,-0.333464,-0.0957029,-0.0432956,-0.0501799,-0.372499,-0.530307,-0.467581,-0.159782,-0.324797,-0.159782,-0.324797,-0.233355,-0.215518,-0.259707,-0.375562,-0.467011,-0.529404,-0.273654,-0.0327079,-0.361673,-0.309067,-0.0646875,-0.316006,-0.304726,0.0491172,0.0646542,-0.290723,-0.164012,-0.475313,-0.257225,-0.0915754,-0.54095,-0.285237,-0.354684,-0.204429,-0.354903,-0.372903,-0.308757,-0.514789,-0.288528,-0.404858,-0.0790779,-0.153426,-0.116236,-0.264824,-0.467298,0.162619,-0.213448,-0.225135,0.0714821,-0.408681,-0.463029,0.150238,-0.532916,-0.559242,0.144528
1,"WALKING_DOWNSTAIRS",0.287848,-0.0156819,-0.10777,0.12413,0.0534213,-0.165756,0.920161,-0.184652,-0.0319022,-0.945348,-0.934072,-0.909272,0.0803597,0.00259335,-0.0108889,-0.00498959,-0.0931785,-0.384098,-0.0773915,-0.0596595,0.0804862,-0.344827,-0.326447,-0.23521,-0.0680368,-0.0530668,-0.0524189,-0.451994,-0.459495,-0.339115,0.125529,0.120829,0.125529,0.120829,-0.098385,-0.0061984,-0.111753,-0.265726,-0.428948,-0.465414,0.0451438,0.0409767,-0.197355,0.150914,-0.00838075,-0.218272,-0.389697,-0.015687,0.0931601,-0.0520859,-0.133649,-0.326495,-0.0464269,-0.111334,-0.441031,-0.319205,-0.404431,-0.214844,-0.257777,-0.304327,-0.141068,-0.377532,-0.348376,-0.340591,-0.209025,-0.0467637,-0.0734425,0.158578,-0.07826,0.0432106,0.0154861,-0.044214,0.0283499,-0.307687,-0.370437,0.0537985,-0.455735,-0.51843,0.113416
1,"WALKING_UPSTAIRS",0.26095,-0.0237443,-0.11675,-0.248403,-0.00605334,-0.141031,0.863515,-0.28157,-0.0594874,-0.949093,-0.9284,-0.9025,0.0798287,0.0103867,-0.0045063,-0.377867,-0.340331,-0.642029,-0.00177987,-0.0820061,0.0558883,-0.486646,-0.254441,-0.287741,-0.108152,-0.040942,-0.0479477,-0.59042,-0.673882,-0.593225,-0.0951869,-0.239151,-0.0951869,-0.239151,-0.399767,-0.40461,-0.158436,-0.303986,-0.622853,-0.687412,-0.30385,-0.139091,-0.373791,-0.229284,-0.00651963,-0.0976625,-0.445842,-0.174209,-0.313896,-0.409296,-0.370378,-0.606887,-0.401592,-0.3529,-0.676366,-0.368743,-0.4676,-0.444134,-0.43028,-0.430002,-0.345092,-0.50947,-0.174194,-0.338625,-0.243724,-0.405299,-0.265716,-0.26182,-0.346869,-0.0846268,-0.3696,-0.458305,0.0588068,-0.432186,-0.343563,-0.210398,-0.673529,-0.730231,0.111205
2,"LAYING",0.27338,-0.0176864,-0.106093,-0.960742,-0.941502,-0.94632,-0.427917,0.623189,0.623577,-0.941529,-0.95144,-0.941616,0.08125,0.0116919,-0.00613951,-0.983488,-0.976437,-0.982704,-0.0178872,-0.0950194,0.122827,-0.970908,-0.966508,-0.964846,-0.100835,-0.0377122,-0.063492,-0.981743,-0.983586,-0.987906,-0.9284,-0.928009,-0.9284,-0.928009,-0.982567,-0.979899,-0.938445,-0.945765,-0.985673,-0.982042,-0.968294,-0.95312,-0.960039,-0.958235,-0.939512,-0.94332,-0.295261,0.151625,0.238547,-0.983227,-0.976429,-0.980256,-0.985364,-0.978244,-0.983774,0.109636,0.0150292,0.0876088,-0.968137,-0.971808,-0.967129,-0.972062,-0.964168,-0.967469,0.00994839,-0.157232,0.154426,-0.94701,-0.930003,0.120649,-0.97972,-0.979136,0.317276,-0.960638,-0.946225,-0.0159752,-0.98268,-0.982263,0.212908
2,"SITTING",0.274097,-0.0140843,-0.106845,-0.986617,-0.949035,-0.946694,0.888322,0.111477,0.175265,-0.983347,-0.966871,-0.95244,0.0762602,0.00747518,-0.00164183,-0.98723,-0.977443,-0.9839,-0.0358777,-0.0725201,0.0739211,-0.985494,-0.970106,-0.964406,-0.0964178,-0.0406382,-0.0501512,-0.988974,-0.987601,-0.986394,-0.962483,-0.950788,-0.962483,-0.950788,-0.984763,-0.981884,-0.954665,-0.958704,-0.989586,-0.986678,-0.985996,-0.957483,-0.962633,-0.987001,-0.947688,-0.94237,-0.0289221,0.0836732,0.0753645,-0.987297,-0.977323,-0.981291,-0.988352,-0.979329,-0.985144,0.210151,-0.0460385,0.0158321,-0.98238,-0.975183,-0.966635,-0.986534,-0.967709,-0.967037,0.0556367,-0.242127,-0.00771506,-0.960419,-0.95321,0.128878,-0.981351,-0.981487,0.289059,-0.969416,-0.95923,-0.0782018,-0.987143,-0.986727,0.184991
2,"STANDING",0.278595,-0.0168302,-0.107472,-0.985641,-0.93531,-0.943851,0.937152,-0.210674,0.00656965,-0.989695,-0.973419,-0.957999,0.0752563,0.0101531,-0.00396095,-0.980344,-0.963869,-0.97926,-0.0256644,-0.0712791,0.0807003,-0.946765,-0.961584,-0.95964,-0.100587,-0.041881,-0.0532041,-0.965243,-0.980068,-0.976879,-0.957118,-0.950755,-0.957118,-0.950755,-0.977099,-0.971414,-0.944883,-0.932476,-0.977945,-0.972796,-0.982708,-0.944315,-0.958795,-0.987114,-0.934431,-0.940117,0.036851,-0.0308287,0.0490192,-0.980363,-0.964102,-0.975845,-0.982171,-0.96634,-0.981375,0.215539,-0.146127,0.00504242,-0.944069,-0.965242,-0.960302,-0.948377,-0.959915,-0.963228,-0.2421,-0.226263,-0.0883851,-0.958327,-0.953887,0.0514079,-0.971184,-0.970744,0.238667,-0.94932,-0.93389,-0.19349,-0.973984,-0.97299,0.0706111
2,"WALKING",0.276922,-0.0180575,-0.108725,-0.331845,-0.0483717,-0.258032,0.933467,-0.213204,0.0131484,-0.976403,-0.967582,-0.955161,0.0765367,0.0116879,-0.00326728,-0.2882,-0.110019,-0.435517,-0.0416932,-0.0644844,0.0946886,-0.477946,-0.367813,-0.334549,-0.0877483,-0.0476161,-0.0594837,-0.391128,-0.493566,-0.45101,-0.181767,-0.355842,-0.181767,-0.355842,-0.243732,-0.214069,-0.286191,-0.379695,-0.455508,-0.474689,-0.314348,-0.0517352,-0.312831,-0.340112,-0.108867,-0.287715,-0.273446,0.0534884,0.108396,-0.324859,-0.170674,-0.413288,-0.314508,-0.104594,-0.45722,-0.224258,-0.340869,-0.256182,-0.354304,-0.402142,-0.313551,-0.519209,-0.354585,-0.40375,-0.0585962,-0.0637052,-0.0763227,-0.287328,-0.499867,0.211965,-0.218905,-0.215094,0.103392,-0.400644,-0.47551,0.184685,-0.505054,-0.474459,0.114093
2,"WALKING_DOWNSTAIRS",0.29023,-0.016752,-0.105667,0.0779812,0.0961943,-0.196379,0.92243,-0.179716,0.0329245,-0.950605,-0.935055,-0.917765,0.0893773,0.00288151,-0.00772791,-0.0783381,-0.0613912,-0.372318,-0.0805477,-0.0460799,0.105837,-0.329851,-0.346371,-0.289399,-0.0797683,-0.048529,-0.0559553,-0.328716,-0.469922,-0.356886,0.0899336,0.106281,0.0899336,0.106281,-0.126093,-0.0281007,-0.137839,-0.250087,-0.413942,-0.428363,0.0131841,0.0880456,-0.204497,0.0981239,0.0284996,-0.259432,-0.422516,-0.0102066,0.10657,-0.110168,-0.0997685,-0.317203,-0.129603,-0.0852297,-0.426894,-0.327267,-0.381018,-0.265579,-0.18685,-0.323646,-0.18749,-0.378811,-0.36995,-0.392818,-0.136522,-0.0492487,-0.028916,0.119951,-0.0763048,0.000240378,-0.0210737,-0.0473927,0.0164682,-0.287505,-0.359964,0.063652,-0.431768,-0.466588,0.0814666
2,"WALKING_UPSTAIRS",0.262523,-0.0264837,-0.1243,-0.231883,-0.0202349,-0.184436,0.867569,-0.301181,-0.0399288,-0.947071,-0.929404,-0.905776,0.0821105,0.0051531,-0.00965211,-0.349674,-0.354643,-0.597314,0.025879,-0.0954767,0.0590027,-0.490499,-0.407906,-0.194829,-0.118982,-0.0374991,-0.0575968,-0.550345,-0.657854,-0.564783,-0.103082,-0.252079,-0.103082,-0.252079,-0.389005,-0.360011,-0.203813,-0.377992,-0.607754,-0.654771,-0.284813,-0.141094,-0.345867,-0.213767,-0.0244529,-0.168388,-0.422125,-0.175654,-0.228144,-0.368752,-0.370963,-0.558318,-0.38981,-0.382831,-0.635509,-0.285414,-0.422344,-0.419371,-0.406606,-0.478299,-0.284115,-0.520357,-0.379647,-0.243539,-0.185178,-0.237731,-0.277082,-0.25277,-0.36969,-0.0218421,-0.331315,-0.404657,0.0734301,-0.474625,-0.425538,-0.119336,-0.648757,-0.688855,0.0927485
3,"LAYING",0.278443,-0.0192175,-0.102551,-0.979375,-0.957892,-0.965469,-0.296369,0.781684,0.590922,-0.980949,-0.985301,-0.974601,0.076047,0.0121941,-0.00224456,-0.979068,-0.969951,-0.980727,-0.0239799,-0.0741294,0.114585,-0.974078,-0.971317,-0.966361,-0.101229,-0.0387175,-0.0638762,-0.982157,-0.983366,-0.981976,-0.971221,-0.96207,-0.971221,-0.96207,-0.979351,-0.972685,-0.95725,-0.952679,-0.985851,-0.979447,-0.97755,-0.960536,-0.969387,-0.980167,-0.958507,-0.965352,-0.152971,0.149432,0.224024,-0.978591,-0.970313,-0.977272,-0.981653,-0.971781,-0.982953,0.104419,-0.0814719,0.0555498,-0.971027,-0.972834,-0.965118,-0.975192,-0.970723,-0.969878,-0.073712,-0.139765,0.105146,-0.964101,-0.966071,0.204656,-0.972768,-0.971478,0.203351,-0.963216,-0.953958,-0.0533029,-0.980854,-0.97881,0.108871
3,"SITTING",0.263255,-0.00597447,-0.0989875,-0.97787,-0.900801,-0.916195,0.85997,0.120388,0.250917,-0.968767,-0.934074,-0.929769,0.0744568,0.00654951,-0.00344387,-0.982297,-0.968201,-0.982005,-0.0370714,-0.0747584,0.0810615,-0.977779,-0.962053,-0.94199,-0.0990728,-0.0386483,-0.0534674,-0.984143,-0.986171,-0.981568,-0.929159,-0.909786,-0.929159,-0.909786,-0.979261,-0.977159,-0.939201,-0.94462,-0.986558,-0.984663,-0.978233,-0.925719,-0.944249,-0.977928,-0.895523,-0.908854,-0.0524551,0.000864188,0.0722884,-0.982469,-0.968439,-0.979076,-0.983753,-0.970298,-0.983583,0.172744,-0.113247,-0.0316411,-0.973586,-0.970223,-0.949222,-0.979147,-0.958207,-0.945141,0.0153812,-0.245848,-0.0450758,-0.934499,-0.912108,0.051238,-0.976732,-0.976753,0.304184,-0.961464,-0.943976,-0.13243,-0.985432,-0.984443,0.157599
3,"STANDING",0.278604,-0.0156547,-0.10513,-0.972061,-0.892567,-0.912123,0.951514,-0.202695,0.0245376,-0.989101,-0.95778,-0.938509,0.0751645,0.00986493,-0.00316485,-0.962664,-0.949373,-0.971013,-0.0261136,-0.0627008,0.0732745,-0.905844,-0.934139,-0.921445,-0.099586,-0.0455377,-0.0467707,-0.950369,-0.968287,-0.964465,-0.927959,-0.915845,-0.927959,-0.915845,-0.965165,-0.94975,-0.902808,-0.884644,-0.967579,-0.956852,-0.96597,-0.91368,-0.938811,-0.975091,-0.889061,-0.906023,-0.0704332,-0.182106,-0.0102625,-0.962677,-0.95035,-0.966086,-0.966297,-0.952058,-0.974789,0.068013,-0.262007,-0.0869468,-0.908392,-0.941604,-0.926805,-0.906771,-0.931162,-0.927332,-0.344513,-0.309294,-0.238713,-0.929466,-0.921786,-0.0549901,-0.950953,-0.947436,0.0903153,-0.915534,-0.886111,-0.313995,-0.959796,-0.956083,-0.0752499
3,"WALKING",0.276011,-0.0173941,-0.10525,-0.352978,-0.124681,-0.246349,0.951679,-0.206862,-0.0671985,-0.978818,-0.966489,-0.947794,0.0748131,0.0163512,-0.00655944,-0.324549,-0.164259,-0.525188,-0.0363735,-0.0710462,0.0827269,-0.474661,-0.262682,-0.321264,-0.0910884,-0.0508972,-0.0473172,-0.425252,-0.564329,-0.504716,-0.223221,-0.345046,-0.223221,-0.345046,-0.318112,-0.252918,-0.232069,-0.405793,-0.516425,-0.556594,-0.334998,-0.140782,-0.358041,-0.361125,-0.172439,-0.248686,-0.299324,0.0971667,-0.00896302,-0.349561,-0.224542,-0.489244,-0.359239,-0.155618,-0.560377,-0.243964,-0.267214,-0.269942,-0.404339,-0.357741,-0.327879,-0.500928,-0.217765,-0.383156,-0.0938334,-0.219113,-0.159787,-0.317687,-0.463497,0.0790506,-0.271537,-0.236068,0.00553003,-0.458034,-0.473525,0.0489206,-0.575976,-0.564673,0.0756644
